job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,min_salary,max_salary,avg_salary
32,Kirby-Zuniga,Healthcare,Data Scientist,"Hugging Face, Scikit-learn, C++, Excel, Azure",Entry,Full-time,"Danielchester, ID",112660-179478,2023-09-22,Mid,"LangChain, KDB+",112660.0,179478.0,146069.0
33,"Castillo, Campbell and Robinson",Tech,AI Product Manager,"Keras, PyTorch, AWS, FastAPI, CUDA",Mid,Contract,"Alexandriaburgh, KN",55330-104941,2024-09-30,Startup,"TensorFlow, Scikit-learn",55330.0,104941.0,80135.5
34,Carter LLC,Finance,NLP Engineer,"MLflow, Keras, SQL, GCP, Power BI",Senior,Internship,"West Charles, TT",110439-183071,2023-11-25,Startup,PyTorch,110439.0,183071.0,146755.0
35,Hall Group,Automotive,Computer Vision Engineer,"GCP, C++, Excel",Entry,Contract,"North Denise, MC",97714-134140,2024-04-01,Large,"TensorFlow, Scikit-learn",97714.0,134140.0,115927.0
36,Huynh PLC,Finance,Computer Vision Engineer,"PyTorch, LangChain, R",Mid,Remote,"Kirbyside, LT",87250-156869,2023-12-25,Startup,"Scikit-learn, FastAPI, MLflow",87250.0,156869.0,122059.5
37,"Smith, Haas and Mendez",Retail,AI Researcher,"Excel, SQL, Python",Entry,Contract,"Lake John, AU",77074-163272,2024-11-16,Mid,"Scikit-learn, LangChain, KDB+",77074.0,163272.0,120173.0
38,"Briggs, Shaw and Berry",E-commerce,ML Engineer,"SQL, Hugging Face, TensorFlow",Mid,Remote,"East Ashleyland, PL",116061-159814,2025-05-14,Startup,MLflow,116061.0,159814.0,137937.5
39,Boyd PLC,Retail,Data Scientist,"PyTorch, Power BI, AWS, FastAPI",Senior,Internship,"Port Misty, NL",87411-136106,2024-06-10,Mid,LangChain,87411.0,136106.0,111758.5
40,"Sanders, Mejia and Townsend",Automotive,Data Analyst,"Power BI, PyTorch, GCP, CUDA, Keras, Scikit-learn",Entry,Internship,"Deleonchester, HN",88562-159008,2025-06-27,Mid,"FastAPI, Scikit-learn, LangChain",88562.0,159008.0,123785.0
41,Hernandez Inc,E-commerce,Quant Researcher,"NumPy, AWS, Excel, SQL, Keras",Senior,Remote,"Nicoleport, BF",41935-95608,2025-02-08,Mid,"Scikit-learn, TensorFlow, BigQuery",41935.0,95608.0,68771.5
42,"Parrish, White and Grant",E-commerce,NLP Engineer,"R, Power BI, CUDA, MLflow",Mid,Full-time,"Kimside, BW",126443-145937,2023-11-10,Startup,TensorFlow,126443.0,145937.0,136190.0
43,"Carroll, Lucero and Lambert",Healthcare,AI Product Manager,"NumPy, SQL, Python, Reinforcement Learning, LangChain",Entry,Full-time,"Simsside, TD",99978-189975,2024-09-05,Large,"PyTorch, TensorFlow, FastAPI",99978.0,189975.0,144976.5
44,"Thomas, Waller and Kelly",Education,Quant Researcher,"Hugging Face, Flask, TensorFlow, Excel, SQL",Entry,Contract,"South Jeremiah, MX",65214-151832,2025-03-11,Large,"TensorFlow, LangChain, PyTorch",65214.0,151832.0,108523.0
45,"Franklin, Wright and Berg",Automotive,Quant Researcher,"Hugging Face, Pandas, CUDA, LangChain, FastAPI",Mid,Internship,"Ramirezmouth, PK",71101-158421,2025-03-16,Mid,KDB+,71101.0,158421.0,114761.0
46,"Coleman, Gray and Roach",Healthcare,ML Engineer,"LangChain, AWS, GCP",Entry,Internship,"New Rachelmouth, IT",119200-129563,2025-02-14,Startup,"FastAPI, MLflow, TensorFlow",119200.0,129563.0,124381.5
47,Mooney-Decker,Finance,Data Scientist,"Scikit-learn, PyTorch, Flask, Azure",Mid,Contract,"Jennyland, TR",122083-203812,2024-08-04,Startup,"PyTorch, BigQuery",122083.0,203812.0,162947.5
48,Wood LLC,Automotive,Computer Vision Engineer,"GCP, TensorFlow, Power BI",Entry,Contract,"Port Johnville, MA",144773-159408,2025-02-21,Mid,"MLflow, BigQuery, LangChain",144773.0,159408.0,152090.5
49,Copeland Group,Education,NLP Engineer,"TensorFlow, LangChain, PyTorch, Power BI, R",Entry,Remote,"North Josephshire, YE",78317-161397,2024-03-19,Mid,"KDB+, PyTorch, MLflow",78317.0,161397.0,119857.0
50,Richards PLC,Finance,NLP Engineer,"Power BI, CUDA, C++, Pandas, SQL, AWS",Mid,Full-time,"Lewismouth, TD",75575-120477,2024-05-07,Large,"FastAPI, KDB+, Scikit-learn",75575.0,120477.0,98026.0
51,"Melendez, Williams and Williamson",E-commerce,AI Product Manager,"TensorFlow, Keras, PyTorch, AWS, Scikit-learn",Entry,Full-time,"Steinside, IT",133185-231638,2023-09-27,Large,BigQuery,133185.0,231638.0,182411.5
52,"Ellis, Crane and Boyle",E-commerce,Computer Vision Engineer,"Azure, Keras, Scikit-learn, Hugging Face, Excel, R",Entry,Contract,"North Jason, MR",73140-164506,2025-05-30,Mid,"LangChain, KDB+, FastAPI",73140.0,164506.0,118823.0
53,Foley-Moore,Finance,Data Scientist,"Keras, Pandas, Python, FastAPI, CUDA, Scikit-learn",Mid,Contract,"Thomasfort, KG",69031-115150,2025-05-17,Large,MLflow,69031.0,115150.0,92090.5
54,Wright and Sons,Tech,Quant Researcher,"R, SQL, Python, PyTorch",Mid,Full-time,"Chavezstad, TG",49382-141727,2024-11-09,Large,"LangChain, BigQuery, MLflow",49382.0,141727.0,95554.5
55,Williams-Vargas,Healthcare,Quant Researcher,"Keras, Excel, FastAPI, Azure, R, PyTorch",Senior,Full-time,"Carlland, ME",135916-233596,2024-11-10,Startup,"FastAPI, TensorFlow, BigQuery",135916.0,233596.0,184756.0
56,Hill-Huff,Tech,ML Engineer,"Power BI, LangChain, Flask, Excel, SQL, CUDA",Senior,Remote,"Jessicamouth, PT",149271-215582,2025-04-23,Startup,"BigQuery, PyTorch, TensorFlow",149271.0,215582.0,182426.5
57,Meyer PLC,Education,Data Analyst,"AWS, Excel, Azure",Entry,Internship,"Caitlynmouth, MR",56348-123497,2023-11-16,Mid,"LangChain, Scikit-learn, PyTorch",56348.0,123497.0,89922.5
58,Boyd-Carlson,Retail,ML Engineer,"Excel, AWS, Keras, Azure, FastAPI, R",Senior,Full-time,"Villarrealhaven, KI",69159-139847,2025-02-11,Large,"MLflow, LangChain",69159.0,139847.0,104503.0
59,Scott-Gardner,Tech,AI Researcher,"FastAPI, C++, Excel, Flask, Pandas",Senior,Remote,"North Laurie, BI",78305-162525,2025-06-21,Large,"FastAPI, PyTorch, LangChain",78305.0,162525.0,120415.0
60,Jackson Group,Finance,AI Product Manager,"TensorFlow, C++, SQL, Hugging Face, Flask, Power BI",Mid,Internship,"East Juliashire, TR",64238-115477,2023-09-25,Startup,BigQuery,64238.0,115477.0,89857.5
61,"Sullivan, Silva and Sawyer",Finance,Data Analyst,"Power BI, Excel, GCP",Senior,Remote,"North Jonathan, NL",53583-148644,2024-06-27,Mid,MLflow,53583.0,148644.0,101113.5
62,"Page, Bonilla and Cohen",Retail,AI Product Manager,"Python, FastAPI, Scikit-learn, Hugging Face, Power BI, Flask",Entry,Remote,"Port Jacobchester, SB",50457-126635,2024-05-08,Startup,LangChain,50457.0,126635.0,88546.0
63,Young-Wright,Retail,Computer Vision Engineer,"Hugging Face, Keras, Scikit-learn",Mid,Internship,"Kaylaburgh, NO",97883-172449,2024-10-26,Large,"TensorFlow, LangChain",97883.0,172449.0,135166.0
64,Patel PLC,E-commerce,AI Product Manager,"Reinforcement Learning, LangChain, Python",Entry,Remote,"South Jamie, KM",94965-141198,2025-02-17,Startup,FastAPI,94965.0,141198.0,118081.5
65,"Lopez, Nelson and Meyer",E-commerce,AI Researcher,"Azure, Pandas, Power BI, MLflow",Entry,Internship,"Lake Michelleport, RS",81202-154117,2025-01-06,Startup,"PyTorch, TensorFlow, FastAPI",81202.0,154117.0,117659.5
66,"Harris, Porter and Walter",Retail,AI Researcher,"C++, Reinforcement Learning, NumPy, Azure, MLflow, Flask",Mid,Contract,"Port Kristenmouth, SA",106117-199125,2023-12-19,Large,"FastAPI, KDB+",106117.0,199125.0,152621.0
67,Dominguez and Sons,Automotive,AI Product Manager,"LangChain, FastAPI, SQL",Senior,Internship,"Rodriguezstad, ET",137229-193525,2024-04-08,Large,"BigQuery, KDB+",137229.0,193525.0,165377.0
68,Griffith-Garner,Retail,Data Analyst,"NumPy, Python, Azure, GCP, C++, Scikit-learn",Senior,Remote,"Meredithview, LS",40995-54162,2024-12-21,Startup,PyTorch,40995.0,54162.0,47578.5
69,Smith LLC,Healthcare,Data Analyst,"Power BI, AWS, NumPy, CUDA, MLflow",Mid,Full-time,"South Tylerhaven, LC",129140-193460,2023-12-09,Mid,"LangChain, PyTorch, MLflow",129140.0,193460.0,161300.0
70,Smith-Jones,Education,Data Analyst,"LangChain, PyTorch, Flask",Mid,Full-time,"South Karenville, BB",86690-120765,2025-06-15,Mid,BigQuery,86690.0,120765.0,103727.5
71,"Maddox, Steele and Jones",Retail,ML Engineer,"Flask, Scikit-learn, NumPy",Entry,Internship,"Billyfort, YE",85816-149983,2025-03-12,Mid,"FastAPI, PyTorch",85816.0,149983.0,117899.5
72,Williams PLC,Healthcare,Quant Researcher,"SQL, FastAPI, LangChain, Scikit-learn, NumPy, TensorFlow",Senior,Remote,"New Jefferyfort, TG",60805-99890,2024-02-12,Startup,"FastAPI, LangChain",60805.0,99890.0,80347.5
73,"Hurst, Manning and Wood",Education,Data Analyst,"Azure, Excel, TensorFlow",Senior,Remote,"Petersenborough, VN",118377-137651,2025-05-02,Large,"PyTorch, BigQuery, Scikit-learn",118377.0,137651.0,128014.0
74,"Howard, Carr and Joseph",Automotive,NLP Engineer,"C++, MLflow, CUDA, Hugging Face",Mid,Internship,"Leeberg, ME",81382-175328,2023-11-28,Large,"MLflow, PyTorch",81382.0,175328.0,128355.0
75,Lewis-Smith,Automotive,ML Engineer,"MLflow, NumPy, R, C++, PyTorch",Senior,Remote,"North Christopherfurt, LR",132555-209536,2025-09-09,Startup,KDB+,132555.0,209536.0,171045.5
76,Luna and Sons,Automotive,AI Researcher,"R, Python, Flask",Mid,Contract,"Weberland, TL",54185-86768,2023-12-06,Mid,"FastAPI, TensorFlow, PyTorch",54185.0,86768.0,70476.5
77,King-Sheppard,E-commerce,AI Researcher,"FastAPI, Hugging Face, PyTorch",Mid,Internship,"Zamorafurt, UA",101020-182230,2025-07-03,Startup,PyTorch,101020.0,182230.0,141625.0
78,Meyer-Shaffer,E-commerce,NLP Engineer,"Pandas, Flask, FastAPI, Reinforcement Learning",Mid,Internship,"Sharpborough, DM",49529-68621,2024-02-21,Startup,"LangChain, PyTorch, Scikit-learn",49529.0,68621.0,59075.0
79,"Ellis, Page and Smith",Tech,Quant Researcher,"Reinforcement Learning, Flask, NumPy, LangChain",Entry,Contract,"North Carriestad, IR",88756-103530,2024-10-12,Startup,LangChain,88756.0,103530.0,96143.0
80,Martinez-Fitzgerald,Healthcare,ML Engineer,"AWS, TensorFlow, Flask, Power BI",Senior,Internship,"South Charles, CI",108574-194850,2025-01-20,Large,KDB+,108574.0,194850.0,151712.0
81,Johnson Inc,Education,AI Researcher,"Reinforcement Learning, Python, Pandas, TensorFlow",Mid,Internship,"Lake Kristen, AZ",111184-166588,2025-08-03,Large,"Scikit-learn, MLflow, PyTorch",111184.0,166588.0,138886.0
82,Camacho PLC,Finance,Data Analyst,"R, C++, GCP, Hugging Face, LangChain, TensorFlow",Entry,Full-time,"Anthonyland, GQ",120456-210505,2024-01-14,Large,"PyTorch, Scikit-learn, BigQuery",120456.0,210505.0,165480.5
83,Sweeney-Griffith,Finance,AI Product Manager,"Flask, Azure, C++, Excel",Entry,Internship,"Michaelchester, MK",86740-124608,2025-09-17,Mid,MLflow,86740.0,124608.0,105674.0
84,"Stafford, Owens and Thompson",Education,Data Analyst,"MLflow, Hugging Face, Python, Scikit-learn",Entry,Full-time,"Lake Debra, AM",78116-122008,2025-04-25,Mid,"MLflow, LangChain, KDB+",78116.0,122008.0,100062.0
85,"Gonzalez, Watts and Thompson",E-commerce,Computer Vision Engineer,"FastAPI, SQL, Flask, CUDA, C++, Scikit-learn",Mid,Contract,"New Danielburgh, RU",42962-75277,2024-11-01,Startup,"FastAPI, LangChain",42962.0,75277.0,59119.5
86,Graham Group,Tech,Data Analyst,"LangChain, FastAPI, PyTorch, CUDA, AWS",Senior,Full-time,"Lake Melissaville, PL",51640-64834,2024-03-21,Large,"BigQuery, Scikit-learn, MLflow",51640.0,64834.0,58237.0
87,Ward-Allen,Education,Quant Researcher,"C++, Power BI, NumPy",Mid,Contract,"Jeffreyburgh, SC",98118-167073,2024-09-10,Large,"LangChain, BigQuery",98118.0,167073.0,132595.5
88,"Garrett, Hernandez and Anderson",Finance,Quant Researcher,"FastAPI, Scikit-learn, LangChain",Mid,Internship,"Whiteville, SE",140819-222611,2023-11-16,Mid,"LangChain, MLflow",140819.0,222611.0,181715.0
89,Long Inc,Finance,AI Researcher,"Flask, Python, Power BI, CUDA",Entry,Internship,"Jacksonmouth, UZ",82496-127505,2025-03-23,Startup,"FastAPI, LangChain, BigQuery",82496.0,127505.0,105000.5
90,Cummings-Nash,Finance,AI Researcher,"Python, SQL, C++, FastAPI",Entry,Internship,"Adamton, HR",124249-174855,2023-10-17,Startup,"KDB+, LangChain",124249.0,174855.0,149552.0
91,"Sawyer, Donovan and Vargas",Automotive,NLP Engineer,"TensorFlow, Power BI, FastAPI, LangChain, Scikit-learn, Python",Mid,Contract,"Lake Erica, NL",81426-145890,2023-10-19,Mid,"BigQuery, KDB+, LangChain",81426.0,145890.0,113658.0
92,"Stewart, Gutierrez and Simpson",Tech,Data Scientist,"GCP, LangChain, Keras",Entry,Internship,"South Paige, VC",51104-130405,2025-03-21,Large,"LangChain, FastAPI, Scikit-learn",51104.0,130405.0,90754.5
93,Jones-Marshall,Finance,NLP Engineer,"Excel, TensorFlow, Pandas, CUDA",Entry,Remote,"Scottberg, MG",143177-155682,2025-08-26,Startup,"MLflow, FastAPI, TensorFlow",143177.0,155682.0,149429.5
94,Murphy-Rosales,Education,NLP Engineer,"FastAPI, PyTorch, CUDA, Flask, Scikit-learn",Mid,Remote,"West Jesse, NG",139393-162837,2025-07-13,Large,"LangChain, BigQuery",139393.0,162837.0,151115.0
95,Solis-Thornton,Healthcare,ML Engineer,"Hugging Face, Python, FastAPI, CUDA, GCP",Entry,Full-time,"East Autumn, AM",111746-137892,2024-10-10,Mid,"LangChain, BigQuery",111746.0,137892.0,124819.0
96,Michael Ltd,Healthcare,Computer Vision Engineer,"PyTorch, MLflow, Scikit-learn, Excel, Pandas",Senior,Full-time,"Maldonadoville, PL",107083-124486,2025-08-09,Startup,LangChain,107083.0,124486.0,115784.5
97,Alexander and Sons,Education,AI Researcher,"Pandas, R, FastAPI, AWS, MLflow, Python",Senior,Full-time,"Richardside, PY",126865-190621,2024-11-15,Startup,"LangChain, FastAPI",126865.0,190621.0,158743.0
98,"Travis, Fletcher and Rodriguez",Finance,Computer Vision Engineer,"Python, SQL, Power BI, Scikit-learn, FastAPI",Mid,Contract,"Port Julieburgh, KW",127896-227744,2023-12-18,Large,"FastAPI, KDB+, LangChain",127896.0,227744.0,177820.0
99,Lozano-Hill,Healthcare,Data Analyst,"Keras, NumPy, Excel, C++, Pandas",Entry,Contract,"South Stephanieville, BS",133789-170501,2024-05-22,Large,"TensorFlow, BigQuery",133789.0,170501.0,152145.0
100,"Farmer, Leach and Norris",Retail,Computer Vision Engineer,"Keras, Power BI, MLflow, AWS",Mid,Contract,"Williamsbury, DO",126422-179630,2025-09-03,Mid,TensorFlow,126422.0,179630.0,153026.0
101,Price-Nichols,Healthcare,ML Engineer,"Pandas, MLflow, Hugging Face, SQL",Entry,Contract,"South Fredview, PL",53156-131761,2025-07-22,Startup,TensorFlow,53156.0,131761.0,92458.5
102,"Gonzalez, Jackson and Williams",Retail,Data Scientist,"Hugging Face, LangChain, Azure, Scikit-learn, Flask",Senior,Internship,"Heatherport, DO",76985-169306,2025-08-09,Large,"KDB+, BigQuery, MLflow",76985.0,169306.0,123145.5
103,"Dodson, Palmer and Huber",Education,Quant Researcher,"Python, Pandas, NumPy, MLflow",Entry,Full-time,"Alejandromouth, CU",129308-160166,2025-02-26,Mid,KDB+,129308.0,160166.0,144737.0
104,Morris-Sanchez,Finance,Data Scientist,"Power BI, GCP, Scikit-learn",Senior,Internship,"New James, CR",112263-190554,2025-03-21,Mid,TensorFlow,112263.0,190554.0,151408.5
105,Cobb-Lindsey,E-commerce,NLP Engineer,"FastAPI, TensorFlow, NumPy, AWS, Azure",Entry,Contract,"West Madison, QA",147332-158887,2024-11-19,Mid,"LangChain, Scikit-learn",147332.0,158887.0,153109.5
106,Ramirez-Goodwin,Automotive,Computer Vision Engineer,"CUDA, Pandas, GCP, LangChain, Azure, TensorFlow",Mid,Full-time,"Tanyachester, TW",54559-121736,2025-04-04,Mid,"KDB+, MLflow",54559.0,121736.0,88147.5
107,Duran PLC,Healthcare,Computer Vision Engineer,"Keras, GCP, SQL",Senior,Remote,"New David, EG",91427-154726,2023-10-03,Mid,"BigQuery, FastAPI",91427.0,154726.0,123076.5
108,Kaiser Group,Tech,AI Product Manager,"Power BI, FastAPI, Reinforcement Learning, SQL, Keras, AWS",Senior,Contract,"South Patricktown, NO",120983-167455,2025-03-30,Large,"TensorFlow, Scikit-learn, MLflow",120983.0,167455.0,144219.0
109,Garcia PLC,Education,ML Engineer,"AWS, Hugging Face, Flask, CUDA",Mid,Contract,"Sanfordmouth, GW",108083-168433,2024-02-06,Large,BigQuery,108083.0,168433.0,138258.0
110,Steele-Norman,Healthcare,Quant Researcher,"Azure, MLflow, Excel, CUDA",Mid,Contract,"Elainefurt, BS",43248-86711,2024-06-20,Mid,Scikit-learn,43248.0,86711.0,64979.5
111,Garcia Ltd,Education,AI Researcher,"SQL, Flask, NumPy, Power BI, Excel",Entry,Remote,"Brownstad, LU",73459-87186,2024-09-08,Large,KDB+,73459.0,87186.0,80322.5
112,Hill LLC,Healthcare,AI Researcher,"GCP, Azure, Reinforcement Learning, TensorFlow, CUDA, FastAPI",Mid,Contract,"Lake Christopher, QA",94345-157493,2024-07-24,Large,Scikit-learn,94345.0,157493.0,125919.0
113,"Morales, Thomas and Miller",Healthcare,NLP Engineer,"Python, FastAPI, R",Mid,Full-time,"Millermouth, GY",113621-179602,2024-08-28,Mid,"MLflow, Scikit-learn, FastAPI",113621.0,179602.0,146611.5
114,Kelly-Novak,Finance,Data Scientist,"Scikit-learn, Pandas, GCP, Python, R",Entry,Full-time,"Nicoleside, AD",43828-137950,2025-05-20,Mid,KDB+,43828.0,137950.0,90889.0
115,Martin-Hernandez,Tech,Quant Researcher,"AWS, Python, GCP, R, C++, FastAPI",Senior,Remote,"North Patrick, KE",118046-186961,2025-06-17,Startup,"Scikit-learn, TensorFlow",118046.0,186961.0,152503.5
116,Price-Dean,Education,NLP Engineer,"NumPy, LangChain, Excel, Keras",Entry,Full-time,"Dennistown, IQ",143236-210339,2024-03-17,Large,MLflow,143236.0,210339.0,176787.5
117,Ruiz Inc,Automotive,Data Analyst,"NumPy, Scikit-learn, Keras, TensorFlow, Hugging Face, Excel",Entry,Contract,"Rodriguezfurt, LI",70478-154317,2025-05-07,Large,"LangChain, KDB+",70478.0,154317.0,112397.5
118,"Hudson, Burton and Campbell",E-commerce,Data Analyst,"TensorFlow, R, Hugging Face",Mid,Internship,"Sullivanburgh, BJ",69403-123368,2024-04-05,Startup,Scikit-learn,69403.0,123368.0,96385.5
119,Roberson Inc,Automotive,NLP Engineer,"Python, Power BI, Pandas, MLflow, Keras, Scikit-learn",Mid,Contract,"New Justin, ZW",143437-196807,2024-01-01,Mid,"MLflow, PyTorch, FastAPI",143437.0,196807.0,170122.0
120,Gutierrez PLC,Retail,NLP Engineer,"PyTorch, GCP, NumPy, Python, Pandas, Keras",Entry,Contract,"West Fredside, PW",59290-84926,2025-08-10,Mid,"TensorFlow, KDB+, BigQuery",59290.0,84926.0,72108.0
121,"King, Chambers and Brown",Retail,AI Researcher,"SQL, Excel, Python",Mid,Remote,"Eriktown, GT",124112-141184,2024-10-08,Mid,"Scikit-learn, MLflow",124112.0,141184.0,132648.0
122,Shannon LLC,Finance,AI Researcher,"GCP, Keras, Azure, SQL, Scikit-learn, NumPy",Entry,Contract,"Port Robert, TR",93411-137526,2024-07-10,Large,BigQuery,93411.0,137526.0,115468.5
123,Thompson-Norris,Finance,Computer Vision Engineer,"Azure, TensorFlow, PyTorch, AWS, Flask",Senior,Contract,"Davidfort, CU",98592-132404,2024-10-08,Startup,"KDB+, MLflow",98592.0,132404.0,115498.0
